Sucursal,Factura,Cotizacion,Estatus,Requisicion,"Salidas Material","Orden de fabricacion","Fecha de Factura","Fecha de Cotizacion",Parcial1,Parcial2,Parcial3,Parcial4,Parcial5
"La Noria",N59532,BB140974,Entregado,,1,,"2023-09-01 02:22:31",,,,,,
"La Noria",BB140914,,Entregado,,1,,"2023-09-01 02:30:46",,,,,,
"La Noria",BB140915,,Entregado,,1,,"2023-09-01 02:43:07",,,,,,
"La Noria",BB140910,,Entregado,,1,,"2023-09-01 02:55:18",,,,,,
"La Noria",BB140908,,Entregado,,1,,"2023-09-01 03:02:03",,,,,,
"La Noria",BB140912,,Entregado,,0,,"2023-09-01 03:18:03",,N3549,N3554,,,
"La Noria",BB140899,,"Recibido por embarques",,0,,"2023-09-01 03:20:13",,N3566,,,,
"San Pablo",425438,,Entregado,,1,1912,"2023-09-01 03:21:53",,,,,,
"San Pablo",123117,A425575,Entregado,,1,,"2023-09-01 03:29:17",,,,,,
"La Noria",BB140922,BB140922,Entregado,,1,,"2023-09-01 03:42:48",,,,,,
"San Pablo",123023,140923,Entregado,N003145,1,,"2023-09-01 03:45:03","2023-09-01 04:19:47",17854,,,,
"San Pablo",425450,,"Pedido generado",,0,,"2023-09-01 03:47:40",,,,,,
"San Pablo",425455,,Entregado,,1,,"2023-09-01 03:56:48",,,,,,
"La Noria",BB140612,,Entregado,,1,,"2023-09-01 04:03:46",,,,,,
"La Noria",BB140898,,Entregado,,0,1092,"2023-09-01 04:11:28",,,,,,
"San Pablo",A425465,,"Pedido generado",5475,0,,"2023-09-01 04:11:59","2023-09-01 04:43:53",N17595,,,,
"San Pablo",A425466,,"Pedido generado",5475,0,,"2023-09-01 04:12:08","2023-09-01 04:44:25",N17595,,,,
"La Noria",N59471,,Fabricado,,0,1091,"2023-09-01 04:13:05",,,,,,
"La Noria",58449,,Fabricado,,0,1093,"2023-09-01 04:15:04",,,,,,
"San Pablo",123130,A425917,Fabricado,,0,1911,"2023-09-01 04:18:26",,,,,,
"San Pablo",A425373,,Entregado,,1,,"2023-09-01 04:19:10",,,,,,
"San Pablo",425463,,Entregado,,0,,"2023-09-01 04:27:00",,,,,,
"La Noria",BB140925,BB140925,Entregado,,0,1096,"2023-09-01 04:28:43",,,,,,
"La Noria",140937,,Entregado,,1,,"2023-09-01 04:46:13",,,,,,
"San Pablo",122994,,"Pedido generado",,0,,"2023-09-01 04:46:28",,,,,,
"San Pablo",122398,A425767,Entregado,5494,1,,"2023-09-01 04:49:07","2023-09-05 04:01:21",N17617,,,,
"San Pablo",113970,A425769,Entregado,,1,,"2023-09-01 04:49:18",,,,,,
"San Pablo",425436,,"Pedido generado",5476,0,,"2023-09-01 04:51:34","2023-09-01 04:51:47",N17596,,,,
"San Pablo",425476,,Cancelado,,0,,"2023-09-01 04:58:12",,,,,,
"San Pablo",A425425,,Cancelado,,0,1905,"2023-09-01 05:08:24",,,,,,
"San Pablo",A425424,,Entregado,5491,2,,"2023-09-01 05:08:52","2023-09-04 07:12:28",N17613,,,,
